what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1295661526078
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1295661526265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661531171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661533390
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295661540515
error,log,,,"A program file was not specified in the launch configuration.",1295661540671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661540687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661542156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661545625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661556187
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1295661556203
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295661558046
error,log,,,"The program file specified in the launch configuration does not exist",1295661558187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661558203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661564359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661568453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661570609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661572687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661572687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661572859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661592000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661602406
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1295661604578
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1295661604609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661623734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1295661623750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661625359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661653734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661654750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661656312
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1295661656390
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661656421
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1295661656578
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1295661656578
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1295661656578
